hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
V11 -> V13, 101.0000000000000000, 84.0000000000000000, 61.9631901840490755, 50.4950495049504937, 44.0404534339904785, 28.8972628947839425, 44.2192554473876953, 0.0000000000000000
V13 -> V11, 84.0000000000000000, 101.0000000000000000, 51.5337423312883445, 60.7142857142857082, 38.1617583485936649, 27.8581759315064197, 44.2192554473876953, 0.0000000000000000
V11 -> V53, 101.0000000000000000, 84.0000000000000000, 61.9631901840490755, 56.4356435643564325, 73.3005203647220611, 51.8329189290236769, 75.3720879554748535, 0.0000000000000000
V53 -> V11, 84.0000000000000000, 101.0000000000000000, 51.5337423312883445, 67.8571428571428612, 78.1275830805277138, 61.4642194105402098, 75.3720879554748535, 0.0000000000000000
V11 -> V4, 101.0000000000000000, 83.0000000000000000, 61.9631901840490755, 49.5049504950495063, 41.9556498527526855, 27.3073535153612710, 42.1004176139831543, 0.0000000000000000
V4 -> V11, 83.0000000000000000, 101.0000000000000000, 50.9202453987729982, 60.2409638554216897, 35.5895107454209594, 25.9296451128477550, 42.1004176139831543, 0.0000000000000000
V11 -> V20, 101.0000000000000000, 83.0000000000000000, 61.9631901840490755, 52.4752475247524757, 58.8259309530258179, 39.8173571493754963, 58.6675405502319336, 0.0000000000000000
V20 -> V11, 83.0000000000000000, 101.0000000000000000, 50.9202453987729982, 63.8554216867469790, 56.4219268150210524, 42.7500798041497916, 58.6675405502319336, 0.0000000000000000
V11 -> V21, 101.0000000000000000, 83.0000000000000000, 61.9631901840490755, 51.4851485148514882, 53.2293826341629028, 35.5745854806872686, 53.1706094741821289, 0.0000000000000000
V21 -> V11, 83.0000000000000000, 101.0000000000000000, 50.9202453987729982, 62.6506024096385588, 49.3129164958101782, 36.8921955946184141, 53.1706094741821289, 0.0000000000000000
V11 -> V7, 101.0000000000000000, 83.0000000000000000, 61.9631901840490755, 55.4455445544554522, 71.3036142264960944, 50.0406245595361980, 73.8044321537017822, 0.0000000000000000
